ID,Character,Gender,Turkish,MSA,Syrian_Arabic
508,Emrah,Male,Sen de sıkma fazla canını.,لا تعقيد نفسك كثيرًا.,لا تدايقي حالك اكتر
509,Zeynep,Female,"Tabii, tabii Emrah Bey. Hiç şüpheniz olmasın.",بالطبع، بالطبع سيد عمرو. ليس لديكم مكان للشك.,اكيد . ما تقلق أنا رح قدم أحسن شي عندي
510,Emrah,Male,Hadi o zaman kolay gelsin.,إذًا حظاً موفقاً.,يلا لكن .  موفقة بشغلك
511,Arzu,Female,Ama hepsini aldın değil mi?,لكنك أخذت كل شيء، أليس كذلك؟,جبت كل الغراض مو؟
512,Arzu,Female,Seninle buluşmaya geç kalmıyor musun sen?,ألا تتأخر أن تتلاقى معي؟,ما اتأخرت على إجتماعك مع سليم؟
513,Ümit,Male,Sen önce benim dediklerimi yap da,عليك أن تقوم بما أخبرتك به أولاً.,انتي ما عليكي غيرتعملي متل ما قلت
514,Selim,Male,İş kadın olmak gerçekten çok yakışmış.,لكونك سيدة أعمال يليق بك حقًا.,لان كتير لابقلك تكوني مديرة أعمال
515,Kemal,Male,Ulan seni bulup köpek yapmasam ben de kamil değilim ha.,إذا لم أعثر عليك وأجعلك كلبًا، فلن أكون هادئًا.,لك اذا ما بطعميك قتلة لما لاقيك ما بكون اسمي كمال
516,Elif,Female,Neden gördük biz seni çok kötü davranıyordu?,لماذا؟ رأينا أنك كنت تتصرف بشكل سيء جدًا؟,ليش نحنا شفناه كان عم يضربك ويخانقك
517,Elif,Female,Hayır seni burada tek başına bırakamayız.  Ummaz.,لا، لا يمكننا تركك هنا وحدك. لا يمكن.,لأما رح نتركك . لحالك هون. مستحيل
518,Elif,Female,Bırakalım da canını mı yaksın?  İzin verir miyiz?,هل نتركه ليؤذيك؟ هل نسمح بذلك؟,بدك نتركك مشان يضربك؟ . لا مستحيل
519,Elif,Female,Hem sen arkadaşını bu halde bırakıp gider miydin?,ألن تترك صديقك في هذا الحال؟ ,بعدين قلي لو كنت بمكاننا كنت رح تترك رفقاتك عم يتعذبو هيك؟
520,Arzu,Female,Artık ayağıma dolanamayacaksın eksiz meçhul.,لن تستطيع بعد الآن أن تلتف حولي بدون أي أثر.,أخيراً رح تروحي من طريقي ورح اخلص منك
521,Arzu,Female,İşte kendi işini kendin halledeceksin.  Temizsin.,ستدبر أمورك بنفسك. أنت نظيف.,رح تروحي للمكان اللي بتستحقيه . يا حلوة
522,DOCTOR A 508,Male,Hala ne bakılıyorsun öyle?  Söylediklerimi yapsana.  Hadi!,لا تزال واقفًا هناك؟ افعل ما قلته لك. هيا! ,ليش لساتك واقفة اعملي يلي قلتلك عليه . بسرعة
523,DOCTOR A 508,Male,Sana diplomanı kim verdi anlamadım ki.,لا أفهم من أعطاك شهادتك. ,مين شغلك بهالمشفى انا ما عم أفهم
524,Kemal,Male,Ulan sen benim başıma belan mısın ha?  Sabahtan beri sen,هل أنت مصيبتي يا رجل؟ منذ الصباح وأنت,ولك منين الله بلاني فيك؟
525,Kemal,Male,"Ben sana evden kaçmak neymiş gösterin,  bizi bilir misin?",سأريك ماذا يعني الهروب من المنزل، هل تعرفنا؟,رح فرجيك شو يعني تهرب مني وتطلع من البيت . فوت
526,Ümit,Male,Duydun işte.  Selim evi satıyor.,لقد سمعتِ ذلك. سليم يبيع البيت.,اللي سمعتيه . سليم اكل الطعم
527,Filiz,Female,"Olsun,  kalanları evde tamamlayın.  Yarın kontrol ederiz olur mu?",حسناً، أكملوا الباقي في المنزل. سنقوم بالتدقيق غداً موافق؟,طيب . فيكن تحلو الباقي بالبيت ومنشوفهن بكرا ومنصصحن اي؟
528,Ümit,Male,Ya Arzu anlamıyor musun söylediğimi?  Adam başka birini bulmuş bile neredeyse  el sıkışmak üzereler yani anlaşmışlar.,أرجو ألا تفهمين ما أقول؟ الرجل قد وجد فعلاً شخصاً آخر يستعدان للعقد أي الاتفاق نهائياً.,يا آرزو شبكي ليش ما عم تفهميني الزلمة لقى حدا يشتريها  واتفق معو على كل شي يعني الموضوع صار معقد
529,Arzu,Female,Bunun başka yolu yok anladın mı?,لا يوجد طريق آخر، هل فهمت؟,السعر مو مهم عم تفهم ؟
530,Tülay,Female,Ne oldu canım?  Erkencisin bugün.,ماذا حدث يا عزيزي؟ أتيت مبكرًا اليوم.,شو صاير حبيبي ليش إجيت بكير؟
531,Elif,Female,Kulaklarını keseceğim diye bağırdı biliyor musun?,صاح قائلاً سأقطع أذنيه، هل تعلم؟ ,بتعرفي انو كان عم يقلو بدي قصلك ادانك ؟
532,Aliya,Female,Gelsin dönsün ebediye her gün arıyorum Zeynepi.,يأتي كل يوم أتصل بزينة.,بتمنى شوفها بالبيت دائماً وماتبعد عني ابداً
533,Melek,Female,"Sadece sana karşı değil, herkese karşı böyledir.",ليس فقط بحقي، بل هي هكذا مع الجميع.,لا تفكري انو بس معك . هيك طبيعتها من زمان
534,Selim,Male,Her gün o iğrenç yüzünü daha iyi görüyorum senin.,أرى وجهك البغيض بشكل أوضح كل يوم.,عم شوف وجهك التاني كل يوم اكتر من اللي قبلو
535,Selim,Male,Melih abla sen yatmadın mı daha?,أختي مليحة، ألم تنامي بعد؟,أختي ملك . لسا ما نمتي؟
536,Selim,Male,Lütfen bu konuya karışma sen.,من فضلك لا تتدخلي في هذا الموضوع.,رجاءاً لا تتدخلي فينا
537,Melek,Female,Zeynepcim bak evlilik dedin öyle ben  ne yaptım o ne yaptığıyla yürümez ki.,زينب، الزواج ليس كما قلتِ، هل فعلتُ شيئًا أو ماذا فعل؟ لا يمشي هكذا.,سمعي زينب الزواج مو إنو نلوم بعض ونتمسك برأينا هيك بيفشل
538,Melek,Female,Evet.  O da senin aramını bekliyor bak.,نعم. هو أيضاً ينتظر مكالمتك، انظري.,إي . كل واحد منكن عم يستنا التاني
539,Hakkı,Male,Abla sen mi indir alır mısın?,يا أختي هل تأخذين المنديل؟,خالة بدك محارم؟
540,Tülay,Female,Oturduğumdan beri doğru düzgün bir şey yemiyorsun hayatım.,منذ جلست هنا، لم تأكل شيئًا بشكل جيد يا حياتي.,شو صاير من وقت ما قعدت عالطاولة ما اكلت ولا لقمة
541,Faysal,Male,Borcum falan yok ya sen şimdi onu yani böyle,لا لا، ليس لديّ ديون، لا تفكر في ذلك.,مو مديون لحدا ولا في شي من هاد ابداً
542,Faysal,Male,"Asıl sana günaydın, akşam oldu lan.  Ayy.",صباح الخير لك، لقد حل المساء. آه.,على شو صباح الخير صار المسا
543,Faysal,Male,çaktırma sen de.  Tamam tamam,لا تلفت الانتباه. حسنًا حسنًا.,اي لا تواخذنا والله
544,Faysal,Male,Herkule bak sen ya.  Ulan façayı bayağı düzeltmiş bu ha.  Şu ağaçlarla,انظر إلى هيركول. لقد أصلح هيئته بشكل جيد حقًا مع هذه الأشجار.,ارقوط ماعاد شافنا . شايف حالو ومو مصدق والله
545,Arzu,Female,Geriye onlardan hiçbir şey kalsın istemiyorum o çiftlikte.,لا أريد أن يبقى أي شيء منهم في ذلك المزرعة.,بدي أحرق كل شي رح يتركو بهالمزرعة
546,Aliya,Female,Seni böyle gördükçe içim parçalanıyor yavrum.,عندما أراك هكذا، أتحطم من الداخل يا عزيزتي.,والله قلبي بينقهر  لما شوفك بهلحالة يابنتي
547,Aliya,Female,Bak böyle susmana ne sana ne de başkasına faydası yok yavrum.,انظري يا عزيزتي، لا فائدة من صمتك لك أو لأي شخص آخر.,شوفي  سكوتك ما رح يفيد حدا . ولا رح يفيدك احكي حبيبتي
548,Aliya,Female,Sana olan alakasını bilmiyor musun?  Hiç olur mu öyle şey?,ألم تعرفي أبداً اهتمامه بك؟ هل يعقل ذلك؟,بعدين لاتحكمي عليه لنفهم منو طولي بالك شوي
549,Aliya,Female,Lakin senin yerin burası yavrum.,لكن مكانك هنا يا عزيزتي.,بس . هون بيتك  يابنتي
550,Selim,Male,Suç istiyorsun.  Al sana suçüstü.,أنت تريد جريمة. خذ لك جريمة بينة.,نمسكو باليد .وهي انا مسكتو
551,Selim,Male,Evi satmaya kesinlikle iyi anlaşmıyorsun.,بالتأكيد لا توافق بسهولة على بيع البيت.,وانت اكيد ما رح تبيع المزرعة .
552,Yusuf,Male,"Burada durmanın zaten bir manası yok Selim,  anlamıyor musun?  Hadi.",لا معنى للبقاء هنا يا سليم، ألا تفهم؟ هيا.,سليم وقفتنا هون مالها طعمة انت ليش ما عم تفهم . يلا .
553,Selim,Male,Ama şimdi ne olacak biliyor musun?,ولكن هل تعرف ماذا سيحدث الآن؟,بس بتعرف شو رح يصير هلأ ؟
554,Yusuf,Male,Anlıyorum seni dedim ama sakin ol.,قلت إنني أفهمك، لكن كن هادئًا.,قلتلك انا فهمانك بس روق .
555,Selim,Male,Söyleyecek misin beni nasıl buldun?,هل ستخبرني كيف وجدتني؟,رح تقوليلي كيف لاقيتيني ؟ .
556,Melek,Female,Sonrasında bir telefon görüşmesi yapıyordun.,ثم كنت تجري مكالمة هاتفية.,ووقتا انت كنت عم تحكي عالموبايل
557,Melek,Female,Ya bizim nasıl kahrolacağımızı hiç tahmin etmedin mi?,ألم تتوقع كيف سنحزن؟,ما فكرت قديش رح نزعل ما فكرت فينا
558,Ümit,Male,Üstü gelin ne sonunda senin olacak?,في النهاية سيكون لك.,هالمزرعة رح تكون النا بالنهاية .
559,Yusuf,Male,götmek istiyorsun.  Sana zarar ver.,تريد أن تذهب بها. تضر بنفسك.,انت معصب كتير هلئ ! .
560,Yusuf,Male,Tevri hareket ederek yapamazsın.  Planlı hareket et.,لا يمكنك التصرف بعشوائية. خطط بتحركاتك.,ما فيك تتخلص منهون بهالطريقة .
561,Ümit,Male,Satmıyormuş ya inanabiliyor musun gerçek herif,إنه لا يبيع، هل يمكنك أن تصدق ذلك، الرجل الحقيقي.,اي ما بدو بتصدقي اديشو غبي
562,Ümit,Male,Galiba ben de senin gibi düşünüyorum.,أعتقد أنني أفكر مثلك.,و انا هيك رأيي في شي!
563,Arzu,Female,Bu ebedi uykusundan hiç uyanmasın.,ألا تستيقظ من نومها الأبدي أبدًا.,انها ما تفيق من غيبوبتها بنوب .
564,Arkut,Male,Bilmem mi abi ben seni ya?,أفلا أعرفك يا أخي؟,اي لكن انا يلي بعرفك .
565,Arkut,Male,Ceyiz arabana bizi de koydun.,وضعتنا أيضًا في سيارة الجهاز.,كرمال هيك انت بعتنا .
566,Arkut,Male,Çektin gittin hiç arkana dönüp bakmadın.,لقد اختفيت دون أن تنظر للخلف.,رحت وما عاد اتطلعت وراك حتى
567,Arkut,Male,Şimdi ne oldu da geliyorsun?  Aşk olsun.,الآن ماذا حدث حتى تأتي؟ هذا لطف منك.,شو عدا ما بدا هلئ !
568,Arkut,Male,Abi gözünü seveyim bırak bu ayakları ya.  İyi kötü tanırım ben seni.,بحق الله، اترك هذا الكلام. أعرفك جيدًا.,اطلع بعيوني و شيلك من هالحكي لك انا حافظك بصم !
569,Arkut,Male,"İyi ettin abi, hoş geldin de.",أحسنت لقدومك يا أخي، مرحبًا بك. ,لا بالعكس اهلا وسهلا فيك .
570,Faysal,Male,"Ya Erkut, vallahi günahım alıyorsun ya.",يا أركوت، والله إنك تأخذ عليَّ ذنوبي.,يا ارقوط . والله انت عم تظلمني هيك .
571,Zeynep,Female,Senin barışmak için senden bir adam bekliyor dedim.,قلت لها إنه ينتظر منك أنك تبادرين بالمصالحة. ,وقالتلي انو سليم عم ينتظر خطوة مني ناطرني انا حاكيه .
572,Zeynep,Female,Ama o ne yaptı biliyor musun?,لكن هل تعلمين ماذا فعل؟ ,بس هو شو عمل بتعرفي يا ترا ؟
573,Zeynep,Female,Bir de ne dedi biliyor musun?,هل تعلمين ماذا قال أيضا؟ ,و بتعرفي شو قلي .
574,Zeynep,Female,Ya ben oraya evliliğimizi kurtarmaya gittim farkında mısın?  Bundan daha önemli değil.,ما هو الشيء المهم الذي يمكن أن يكون لشخص؟ ,انا رحت لهونيك لحتى انقذ زواجنا إذا مانك ملاحظة .
575,Zeynep,Female,Gördün mü?  Sen de bir cevap veremiyorsun işte.,هل رأيت؟ لا يمكنكِ حتى أن تردي.,شفتي . وانتي ما عندك جواب مو هيك ! .
576,Tülay,Female,Sen üzülüyorsun diye bizim canımız yanıyor.,لأنكِ حزينة، نحن نتألم.,اذا ما زعلت كرمالك على مين بدي ازعل !
577,Zeynep,Female,Abla sağ ol zahmet etmişsin ama canım bir şey istemiyorum.,أختي، شكراً لقد تعبتي ولكنلا أريد شيئاً يا حبيبتي.,يسلمو ايديكي عذبتي حالك بس .
578,Tülay,Female,Sen bir şey yemeyince bak,عندما لا تأكلين شيئاً، انظري,انتي . لما ما بتاكلي .
579,Melek,Female,Bir şey mi oldu yoksa okulda falan bir şey mi dediler sana?  Yok.,هل حدث شيء في المدرسة أم قالوا لكِ شيئاً؟ لا.,صاير شي ولا . حدا دايقك بالمدرسة ماما ؟
580,Ümit,Male,Ya ben senin için her şeyi göze alırken,بينما أنا كنت مستعداً للتضحية بكل شيء من أجلك,لك انا كرمالك تخليت عن كلشي .
581,Elif,Female,Senin çok güzel bir haberin var.,لديك خبر رائع جداً. ,انا عندي اخبار حلوة كتير
582,Selim,Male,Haklı olabilirsin.  Belki de ortak.,قد تكون محقاً. ربما شريك.,يمكن معك حق
583,Filiz,Female,Neden sordum?  Yoksa eve gitmek için sabırsızlanıyor musun?,لماذا سألت؟ أم أنك متشوق للذهاب إلى المنزل؟,ليش عم تسأل . ولا مالك مصدق ايمتا تروح عالبيت؟
584,Kemal,Male,Ben sana demedim mi?  Bu eve para getirmeden okula falan gitmek yok diye.  Demedim mi?,ألم أخبرك؟ لا تذهب إلى أي مدرسة دون أن تجلب المال إلى هذا المنزل. قلت لك أم لا؟,مو الف مرة قلتلك .  ما بتروح عالمدرسة اذا ما بتجيب مصاري
585,Selim,Male,Sen ne yaşadıysan bitmek bilmeyen hırsını yüzden yaşadım.,"مهما مررت به، فهو بسبب طموحك الذي لا ينتهي.
",انتي عملتي بحالك وكل شي صار معك صار من ورا طمعك
586,Kemal,Male,Zaten bir işe yaradın da yok.,لم تكن مفيداً بأي شكل من الأشكال.,مافي منك فايدة
587,Kemal,Male,Sen iyi bir ders hak ettin ha.,أنت تستحق درساً جيداً.,مبين انك ما عم تفهم
588,Kemal,Male,Gel buraya ağzını payını vereyim senin.,تعال هنا وسأريك عقابك.,تعا لهون لعلمك كيف ما تبيع
589,Kemal,Male,O yanatlarını daha çok tutarsın.  Tamam mı?,ستكون بحاجة إلى الاحتفاظ ببعض للغد، حسناً؟,بدك تاكل قتل كتير . فهمت؟
590,Arzu,Female,Ne diyorsun sen be?  Ne yapışır baksana haksız.,عما تتحدثين؟ ماذا عن الانضمام إلى الفريق؟  انظر إلى نفسك كم أنتي مخطئة.,شو عم تقولي وليه .عرفي حدودك  احسنلك
591,Ümit,Male,Arzu yeter dedim sana tamam mı?  Yürü gidiyoruz.,قلت لك كفى يا أرزو، حسناً؟ نمشي.,آرزو . عم قلك بيكفي فهمتي  يلا امشي
592,Aliya,Female,Odan da göremeyince sabah sabah nereye gitti diye merak ettim seni.,قلقت عليك، عندما لم أجدك في غرفتك صباحًا. أين ذهبت؟,من الصبح رحت على غرفتك لشوفك مالقيتك قلت لاجي شوفك هون
593,Aliya,Female,Uyan uğrayanmaz çalışmaya mı başladın evladım?,هل بدأت العمل دون أن تستيقظ يا ابني؟,ليش صاحي من بكير وجاية تشتغل ياابني ؟
594,Aliya,Female,Senin öyle temiz bir kalbin var ki,لديك قلب نظيف جدًا,لانك طيب وقلبك نضيف وكبير
595,Aliya,Female,Kötülük aramadın da ondan oğlum,لم تبحث عن الشر لذلك يا بني,وما بتقدر تكون سيء ياابني
596,Aliya,Female,Ben çayları koyayım.  Sen de elini yüzünü yıka.,سأجهز الشاي، اغسل يديك ووجهك.,لبين ما اعمل الشاي بتكون جهزت حالك
597,Aliya,Female,Hadi geç kalmama sıcak sıcak gelsin.,أسرع لتأتي ساخنة ساخنة.,يلا . لا تتاخر مشان ما يبرد الاكل
598,Ümit,Male,Abuzo bir sakin olur musun?  Ne yapıyorsun?,عبو، هل يمكنك أن تهدأ؟ ماذا تفعل؟,طولي بالك يا ارزو شو عم تعملي؟
599,Ümit,Male,"İstersen bugün kahvaltıyı dışarıda yapalım,  mahnedersin.",إذا أردت يمكننا تناول الفطور في الخارج اليوم، ماذا تقولين؟,شو رأيك نطلع نفطر  برا وبلا القهوة
600,Arzu,Female,Benim kahvaltı yiyecek halim mi var kafayı mı yedin sen?,هل ترين أنني في حالة لتناول الفطور؟ هل فقدت عقلك؟,بدك ياني افطر بدون ما اشرب قهوة ؟
601,Arzu,Female,Benim sinirlerim allak bullak oldu.  Ama bakıyorum ki sende hiçbir sıkıntı yok.,أعصابي مدمرة بالكامل. ولكن أرى أنه ليس لديك أي مشكلة.,وعقلي  ما عم يتحمل رح يطير من محلو. بس انت شكلك مو فارقة معك
602,Ümit,Male,Hayatım nasıl böyle konuşuyorsun ya?  Ben nasıl rahat olayım?  Dün gece uyku uyuyamadım bunları düşüneceğim diye.,حياتي، كيف تتحدثين هكذا؟ كيف يمكنني أن أكون مرتاحاً؟ لم أستطع النوم الليلة الماضية بسبب التفكير في كل هذا.,شو هالحكي اللي عم تحكيه  ليش هيك عم تعملي انا ما قدرت نام طول الليل وانا عم فكر
603,Ümit,Male,Ya sen ne yaşıyorsan ben de aynısını yaşıyorum.,أيّاً ما كنتِ تمرين به، أعيش الشيء نفسه.,انا عم عيش نفس الشي اللي عم تعيشيه
604,Arzu,Female,Gitmekle biz bu işi çözemeyiz anladın mı?  Hiçbir yere varamayız.,لن نحل هذا الأمر، هل تفهم؟ لن نصل إلى أي مكان.,اذا طلعنا نفطر برا . بتنحل كل مشاكلنا مثلا ولا شو فهمني
605,Arkut,Male,Uyanır uyanmaz o galgeleri almam lazım senden.,بمجرد أن تستيقظ، علي أن آخذ تلك الأوراق منك.,انا لازم اوصل للمستندات اول ما تصحى غونجا
606,Arzu,Female,Evet doğru anladın.  Goncayı öldüreceksin.,نعم، فهمت بشكل صحيح. ستقتل جونجا.,اي  . بدك تقتلها غونجا لازم تموت
607,Arzu,Female,Nereden biliyorsun görmediğini?  Uyandığında ilk senin peşine düşecek.,كيف تعرف أنها لم ترَك؟ ستلاحقك أولاً عندما تستيقظ.,عم تقول غونجا ما شافتك . لانها كانت عم تحاول تبعدك عنها
608,Ümit,Male,"Ben de bu yüzden diyorum zaten sana kaçıp gidelim,  her şeyi arkamıza bırakalım ha.",لهذا أقول لنرحل ونترك كل شيء وراءنا، هاه؟,شفتي كيف هي سبب جديد يخلينا نقتنع انو لازم نهرب بأسرع وقت
609,Arzu,Female,Ve sen gerçekten eğer beni seviyorsan,"وإذا كنت فعلاً تحبني
",لهيك . لازم تعمل حسابك لهالشي
610,İnci,Female,Bana yardım edeyim Meri Fabra sana.,فلأساعدكِ ميري فابرا لكِ.,انا رايحة ساعدها خالتي ملك
611,Elif,Female,Sokakta mendil satmak zorunda kalmasın.,حتى لا يضطر لبيع المناديل في الشارع.,وما يكون مضطر يروح مشان يبيع محارم
612,Melek,Female,"Yok Selim, hiç gerek yok.  Sen kendi işlerine ilgilen.",لا داعي لذلك يا سليم. اهتم بأمورك.,مافي داعي لاتعذب حالك انت روح على شغلك
613,Elif,Female,Teşekkür ederim amca sana da iyi çalışmalar.,شكرًا عمي، نتمنى لك أيضًا عملًا جيدًا.,شكرا كتير الك عمو والله يوفقك بشغلك
614,Selim,Male,"Ne yapayım anne, ne istiyorsun?",ماذا أفعل أمي، ماذا تريدين؟,شو اعمل امي  شو بدك؟
615,Aliya,Female,"Sen benim oğlumsan, Zeynep de benim kızım.",أنت ابني، وزينب هي ابنتي.,متل ما انت ابني . زينب بنتي كمان
616,Selim,Male,Ben hatalıyım yani sen de mi bunu düşünüyorsun?,هل أنا مخطئ، هل تفكرين هكذا أيضًا؟,يعني . انا طلعت غلطان هيك قالتلك؟
617,Aliya,Female,Söz konusu insanın ailesiyse her şeyi  bir yana bırakır eşin yanında olursun.,إن كانت الأمر يتعلق بعائلة الناس، فإنك تترك كل شيء وتقف إلى جانب زوجتك.,الزلمة اللي بيهتم بعيلتو بيترك كل شي . وبيهتم بمرتو. ما بيتركها ابني
618,Arzu,Female,Ben çok fazla kas makamda.  Refakatçi misin gibi.,أنا أميل كثيرا للمركز. كأنك مرافق.,المهم ما تتوتر كتير خليك عم تتصرف طبيعي
619,Arzu,Female,"Bir şekilde geçtirirsin.  Öldüm yoksa Allah kahretsin.  Allah kahretsin, Allah kahretsin.  Çak.",تجاوزها بطريقة ما. هل مات؟ اللعنة عليه. اللعنة عليه، اللعنة عليه. انتقل.,تصرف عادي كتير
620,Arzu,Female,"Ümit ama söz vermiştin.  Tamam dedin, kabul ettin.",أميت لكنك وعدت. قلت حسناً، قبلت. ,اوميت شبك انت وعدتني . شو صرلك ليش تراجعت ؟
621,Ümit,Male,Sana acı çektiren birinden intikam almak başka bir şey.,الانتقام من شخص يجعلك تتألمين شيء آخر. ,لازم تفهمي انو هالشي مختلف تماماً عن اني  اقتل انسان
622,Arzu,Female,Önümüze çıkan bütün engelleri yenmek zorundayız.  Anlıyor musun?,علينا أن نتغلب على جميع العوائق التي تقف في طريقنا. هل تفهمين؟,لازم نتخلص من اي حدا بيوقف بوشنا . عم تفهم ؟
623,Arkut,Male,Ne işin var lan senin burada?,ماذا تفعل هنا، يا صديقي؟,شو عم تعمل هون شو جابك؟
624,Ümit,Male,Ne yapıyorsun lan sana?  Eşkıya mısın?,ماذا تفعل يا رجل؟  هل أنت لص؟ ,مين مفكر حالك ولا . شو بدك؟
625,Elif,Female,Bu paraları görünce ne kadar çok sondu görmedin mi?,ألم ترَ كم كانت تلك الأموال تُغري؟,فكرتو رح يعامل حقي بطريقة منيحة بس ماعمل هيك
626,Kambur,Male,Demek beni ipe götürmek isteyen avukat sensin.,إذن أنت المحامي الذي يريد إرسالي إلى حبل المشنقة.,لكان إنت يلي كنت عم تحاول تبعتني عالموت حضرة محامي
627,Kambur,Male,Kambur diyeceksin.  Kambur.  Ama öğreneceksin.,ستقول قوزباغي. قوزباغي. لكنك ستعرف.,بتناديلي كامبور، كامبور.
628,Kambur,Male,"Sen beni yor, ben seni yorayım.",آمِلك، آمِلني.,يعني لا أنا بزعجك، ولا إنت بتزعجني.
629,Kambur,Male,Bu dünyada herkesin bir nedeni vardır.,على هذه الأرض لكل شخص سبب.,بس بهالدنيا ، كل حدا إلو سعر.
630,Damla NEW,Female,Sen benim yanımdayken bana hiçbir şey olmaz.  Sen beni korursun.,لن يحدث لي شيء وأنت بجانبي.  أنت تحميني. ,طالما انت معي ما بيصرلي أي شي. إنت بتحميني
631,Kambur,Male,Ben sana adam gibi geldim.,جئت إليك كرجل محترم. ,انا اجيت لعندك لنتفاهم
632,Kambur,Male,Ama sen ne yaptın avukat?,لكن ماذا فعلت أيها المحامي؟ ,بس شو عملت يا حضرة المحامي؟
633,Kambur,Male,Sana bu davadan çekil dedim.,قلت لك انسحب من هذه القضية. ,قلتلك اتروك هالقضية وبعد عنها
634,Yusuf,Male,Kös göre göre yüz çeviremezsin.,لا يمكنك أن تدير ظهرك وأنت ترى.,وبصراحة انا ما قدرت ارفض،
635,Ümit,Male,Bu işi halletmeden karşıma çıkma dedin.,قلتِ لي لا تظهر بدون أن تنتهي من العمل.,قلتيلي ما ارجع لحل القصة
636,Ümit,Male,Bir de üstüne dayak mı yedim diyeceğim sana ha?,وهل سأقول لك أنني ضربت فوقها؟ ,انتي طلبتي مني انو حل الموضوع
637,Ümit,Male,Keşke benden bu kadar çabuk vazgeçmeseydin.  Keşke.,أتمنى لو لم تتخلى عني بهذه السهولة.  أتمنى. ,يا ريت لو انتي ما تخليتي عني بهالسهولة، ياريت
638,Ümit,Male,Benim seni sevdiğimi onda biri kadar sevemeyeceksin.,لن تحبني حتى قدر عشر ما أحبك. ,مارح تحبيني متل ما أنا حبيتك أرزو
639,Arkut,Male,O arzu denilen pislik senin yokluğunda  herkese ne oyundan oynuyor bir bilsen.,لو تعلمين ما يفعل ذلك الشرير المسمى آرسو في غيابك للجميع.,بس لو انك تعرفي هالوسخة أرزو كيف طلعت عم تلعب بالكل،
640,Aliya,Female,Lakin senin neye canın sıkıldığını biliyorum.  Zeynepe üzülüyorsun.,لكنني أعلم ما يزعجك. أنت حزين لأجل زينب.,بعرف انه قلبو كتير محروق على زينب، ولساتو مجروح
641,Aliya,Female,"Zeynep ayrı kahroluyor, sen ayrı.",زينب تعاني حزناً، وأنت كذلك.,زينب مقهورة هنيك، وانت كمان
642,Emrah,Male,Işık kızıyla akşam hazırladın beni.,لقد جهزتني لليلة مع ابنة النور.,قدرتي تجهزيلي كلشي بسرعة
643,Tülay,Female,Sen şimdi hemen koş git onun yanına.  Kızım sana çok ihtiyacı vardır.  Hadi hadi.,عليكِ الذهاب إليه فوراً. إنه يحتاجكِ جداً يا ابنتي. هيا هيا.,أنا برأيي الأفضل تروحي لعنده بسرعة، هوه كتير محتاجك يا بنتي يلا يلا
644,Zeynep,Female,Allahım ne olur Selime bir şey olmasın ya ne olur.,يا الله، لا تجعل شيئاً يصيب سليم، أرجوك.,دخيلك يا ربي انشالله ما يصير شي لـ سليم،
645,Cevahir,Male,İlahi ferahı alem kadır sana.,يتجلى الإله في الكون لك.,عنجد ضحكتيني انتي كتير مهضومة
646,Ümit,Male,Hayır hayır hayır tabii ki hayır.  Veremezdin ki.  Daha büyük ne olabilir?,لا، لا، لا بالطبع لا. لم يكن بإمكانك إعطائي. ما هو الأكبر من ذلك؟,لا لا لا طبعاً لا، ليش يعني، لسا شو في اكبر من هيك؟
647,Ümit,Male,Bunu biliyor musun her zaman?,هل تعلم هذا دائمًا؟,بس بتعرفي أرزو؟
648,Ümit,Male,Sen beni kandırdın.  Aşkını kullanarak,خدعتني مستخدمةً حبك,انتي اتضحكتي عليي، استغليتي حبي إلك،
649,Arkut,Male,"Ama böyle olmaz Gonca, artık uyanacaksın.",لكن لا يمكن أن يكون هكذا يا غونجا، عليكِ أن تستيقظي الآن.,بس هيك ما بيصير غونجا لازم تفيقي بقى.
650,Arzu,Female,Sen başkaları tarafından emri verilip çalıştırmaya alışmışsın çünkü.,لأنك اعتدت أن تؤمر وتعمل تحت إمرة الآخرين.,لأنك، متعود دائما تقضي حياتك وانت متخبي بظل التانيين
651,Ümit,Male,Ben senin istediklerini yapardım.  Ama ben ne yaptım?,كنت سأفعل ما تودين. ولكن ماذا فعلت؟,كنت ساويت يلي طلبتيه مني. بس أنا شو عملت؟
652,Arzu,Female,Başkaları tarafından böyle güdülmeye mahkumsun.,محكوم عليك أن تساق من الآخرين.,لازم تضل تحت سيطرة حدا تاني متل المحكوم
653,Arzu,Female,Ne biçim konuşuyorsun sen ya?  Ağzını topla.,كيف تتحدث بهذا الشكل؟ نظم فمك.,شو هالكلام يلي عم تحكيه. انتبه ع كلامك
654,Arzu,Female,Sen ne diyorsun ya?  Senin ağzından çıkan kulağın duyuyor mu?,ماذا تقول؟ هل تسمع أذنك ما يخرج من فمك؟,شو هاد يلي عم تقولو آه؟ انت عم تسمع يلي عم تقولو؟
655,Arkut,Male,Oğlum Erkut sen de yırttın.,يا إركوت، لقد نجحتَ أيضًا.,انا بتشكرك يا ربي
656,Zeynep,Female,Bir gelmeseydim de  görmeseydim seni öyle.  Allahım ne olur bir şey olmasın ona.  Pelin?  Selim?,ليتني لم آتِ ولم أراكِ هكذا. اللهم لا يصيبها أي مكروه. بيلين؟ سليم؟,يا ريت ما إجيت لهون وشفت يلي شفته
657,Zeynep,Female,Çok ben beni silip atmışsın bile.,أنت قد محيتني تماماً.,انت، عايش حياتك مبسوط وما عم تتذكرني
